group,idiom,explanation,example
神态描写-喜悦,笑容可掬,形容人笑容满面，非常和蔼可亲。,老师笑容可掬地走进教室，我们都不紧张了。
神态描写-喜悦,开怀大笑,形容心情非常舒畅，放声大笑。,听到这个笑话，大家忍不住开怀大笑。
神态描写-喜悦,捧腹大笑,形容笑得肚子都疼了，用手捂着肚子笑。,小品演到精彩处，观众们捧腹大笑。
神态描写-喜悦,乐不可支,形容快乐到了极点，快要支撑不住了。,拿到新玩具，小弟弟乐不可支。
神态描写-喜悦,兴高采烈,形容人兴致很高，情绪热烈饱满。,同学们兴高采烈地去春游。
神态描写-喜悦,喜出望外,形容遇到意料之外的好事，特别高兴。,没想到能见到偶像，她喜出望外。
神态描写-愤怒,火冒三丈,形容人非常愤怒，像火苗蹿了三丈高。,看到他弄坏了玩具，爸爸火冒三丈。
神态描写-愤怒,怒发冲冠,形容愤怒到极点，头发都竖起来把帽子顶起来了。,听到这种不公平的事，他怒发冲冠。
神态描写-愤怒,勃然大怒,形容人突然变脸，非常生气。,老师听到有人在打架，勃然大怒。
神态描写-愤怒,怒气冲冲,形容满脸怒气，非常生气的样子。,他怒气冲冲地走进办公室。
神态描写-愤怒,咬牙切齿,形容非常痛恨或生气，把牙齿咬得咯咯响。,他气得咬牙切齿，握紧了拳头。
神态描写-愤怒,怒目而视,形容用愤怒的眼神瞪着别人。,他对那个说谎的人怒目而视。
神态描写-愤怒,忍无可忍,形容忍耐到了极限，再也忍不住了。,他三番五次地捣乱，我终于忍无可忍了。
神态描写-愤怒,愤愤不平,形容心中不服气，感到气愤。,看到有人插队，大家都很愤愤不平。
神态描写-愤怒,恼羞成怒,形容因羞愧而发怒。,他被人揭穿了谎言，恼羞成怒。
神态描写-愤怒,气急败坏,形容非常生气，手忙脚乱的样子。,他输掉比赛后气急败坏地摔了东西。
神态描写-悲伤,泪流满面,形容流了很多眼泪，满脸都是泪水。,看到感人的电影，她泪流满面。
神态描写-悲伤,泣不成声,形容哭得太厉害，话都说不出来了。,抱着获奖证书，她激动得泣不成声。
神态描写-悲伤,伤心欲绝,形容伤心到了极点，像要死了一样。,失去心爱的宠物，她伤心欲绝。
神态描写-悲伤,痛哭流涕,形容非常伤心地大声哭泣。,做错了事，他后悔得痛哭流涕。
神态描写-悲伤,泪如雨下,形容眼泪像雨一样哗哗地流下来。,听到这个坏消息，她泪如雨下。
神态描写-悲伤,唉声叹气,形容因伤心、烦闷而发出叹息声。,考试没考好，他坐在那里唉声叹气的。
神态描写-悲伤,愁眉苦脸,形容非常忧愁苦恼的样子，眉头紧锁。,他愁眉苦脸地看着那张不及格的试卷。
神态描写-悲伤,潸然泪下,形容无声地流下眼泪。,读到这个感人的故事，我潸然泪下。
神态描写-悲伤,黯然神伤,形容心情沮丧，神情悲伤，无精打采。,听到朋友要搬走的消息，他黯然神伤。
神态描写-悲伤,悲痛欲绝,形容悲哀伤心到了极点。,听到爷爷去世的消息，他悲痛欲绝。
神态描写-惊讶,目瞪口呆,形容非常惊讶，张着嘴说不出话来。,看到魔术师的表演，孩子们目瞪口呆。
神态描写-惊讶,大吃一惊,形容非常吃惊，出乎意料。,看到自己的书包被画得乱七八糟，我大吃一惊。
神态描写-惊讶,呆若木鸡,形容因害怕或惊讶而发愣的样子，像木头鸡一样。,听到这个消息，他呆若木鸡地站在原地。
神态描写-惊讶,瞠目结舌,形容瞪着眼睛说不出话来，非常震惊。,看到他的画作如此精美，评委们瞠目结舌。
神态描写-惊讶,惊愕万分,形容非常震惊，完全出乎意料。,看到妈妈出现在校门口，我惊愕万分。
神态描写-惊讶,大惊失色,形容非常惊讶，脸色都变了。,听到考试取消的消息，大家都大惊失色。
神态描写-惊讶,难以置信,形容很难相信，让人不敢相信。,他居然能举起这么重的石头，真是难以置信。
神态描写-惊讶,张口结舌,形容张着嘴说不出话来，非常吃惊或理屈词穷。,被老师一问，他张口结舌，答不上来。
神态描写-害怕,提心吊胆,形容非常担心害怕，心像吊起来一样。,第一次上台演讲，我提心吊胆的。
神态描写-害怕,心惊胆战,形容非常害怕，心脏和胆都在发抖。,站在玻璃栈道上，我吓得心惊胆战。
神态描写-害怕,惊慌失措,形容害怕紧张，不知道该怎么办才好。,地震来临时，大家惊慌失措。
神态描写-害怕,魂飞魄散,形容极度恐惧，魂和魄都飞走了。,突然一声巨响，吓得他魂飞魄散。
神态描写-害怕,惊恐万状,形容极度恐惧，显出各种害怕的样子。,老鼠一出现，小猫吓得惊恐万状。
神态描写-害怕,忐忑不安,形容心神不定，担心害怕，七上八下的。,等成绩的时候，我忐忑不安。
神态描写-害怕,心有余悸,形容危险过后，心里还感到后怕。,想起刚才差点摔倒，我心有余悸。
神态描写-害怕,坐立不安,形容心里有事，坐着站着都不安稳。,考试前他坐立不安，一直走来走去。
神态描写-害怕,不寒而栗,形容不是因为冷而发抖，而是害怕得浑身发抖。,走进那间黑屋子，我不寒而栗。
神态描写-害怕,闻风丧胆,形容听到一点风声就吓破了胆。,敌人听到解放军来了，闻风丧胆。
神态描写-羞愧,面红耳赤,形容因羞愧、着急而脸红到脖子。,被老师批评后，他面红耳赤地低下了头。
神态描写-羞愧,无地自容,形容羞愧到极点，觉得没有地方可以躲藏。,知道自己说谎被发现了，他无地自容。
神态描写-羞愧,自惭形秽,形容因为自己不如别人而感到惭愧。,看到别人都那么优秀，他不禁自惭形秽。
神态描写-羞愧,羞愧难当,形容非常羞愧，难以忍受。,抄袭被发现后，他羞愧难当。
神态描写-羞愧,汗颜无地,形容非常羞愧，汗都出来了，无处躲藏。,知道自己错了，他汗颜无地。
神态描写-羞愧,问心有愧,形容做过对不起别人的事，心里感到惭愧。,看着朋友信任的眼神，他问心有愧。
神态描写-得意,洋洋得意,形容非常得意，很满足的样子。,他考了第一名，洋洋得意地走回了座位。
神态描写-得意,沾沾自喜,形容自以为了不起，很得意的样子。,受到表扬后，他沾沾自喜，骄傲了起来。
神态描写-得意,自鸣得意,形容自己觉得非常了不起。,刚学了一点东西，他就自鸣得意起来。
神态描写-得意,得意忘形,形容太得意了，连自己是什么样都忘了。,赢了一局棋，他就得意忘形地跳了起来。
神态描写-得意,趾高气扬,形容走路时脚抬得很高，神气十足的样子。,他当上队长后，变得趾高气扬的。
神态描写-得意,神气活现,形容非常得意，很神气的样子。,他穿着新衣服，神气活现地走来走去。
神态描写-镇定,镇定自若,形容遇到紧急情况不慌不忙，像平常一样。,地震时老师镇定自若地指挥我们撤离。
神态描写-镇定,从容不迫,形容态度镇静，不慌不忙。,他从容不迫地走上讲台开始演讲。
神态描写-镇定,面不改色,形容遇到危险或困难时脸色不变，非常镇定。,面对敌人的威胁，他面不改色。
神态描写-镇定,若无其事,形容好像什么事也没发生一样，非常平静。,他打碎了花瓶，却装得若无其事。
神态描写-镇定,泰然自若,形容在紧急情况下沉着镇定，不慌不忙。,面对大家的提问，他泰然自若地一一回答。
神态描写-出神,聚精会神,形容注意力高度集中，全部精神都集中在一点上。,同学们聚精会神地听老师讲课。
神态描写-出神,全神贯注,形容全部精神都集中在某件事情上。,他全神贯注地拼着乐高积木。
神态描写-出神,目不转睛,形容眼睛一眨不眨地盯着看，注意力很集中。,他目不转睛地盯着电视里的动画片。
神态描写-出神,专心致志,形容一心一意，集中精神做一件事。,小明专心致志地写着作业。
神态描写-出神,心无旁骛,形容心里没有杂念，专心做一件事。,他心无旁骛地练习钢琴，完全没注意到时间。
神态描写-无聊,无精打采,形容没有精神，提不起劲的样子。,因为感冒了，他今天无精打采的。
神态描写-无聊,百无聊赖,形容什么也不感兴趣，精神很空虚无聊。,下雨天不能出去玩，他百无聊赖地翻着书。
神态描写-无聊,心不在焉,形容心思不在这里，精神不集中。,他上课时心不在焉的，一直在想动画片。
神态描写-无聊,呵欠连天,形容非常困倦，不停地打哈欠。,晚上没睡好，上课时他呵欠连天。
神态描写-无聊,昏昏欲睡,形容非常困，快要睡着了。,听完长长的报告，大家都昏昏欲睡。
心理描写-高兴,心花怒放,形容心里非常高兴，像花儿开放一样。,听到要去旅游，我心里心花怒放。
心理描写-高兴,心旷神怡,形容心情舒畅，精神愉快。,站在山顶上，看着美丽的风景，我心旷神怡。
心理描写-高兴,欢天喜地,形容非常高兴快乐。,过年了，孩子们欢天喜地地放鞭炮。
心理描写-高兴,喜气洋洋,形容满脸喜色，气氛非常欢乐。,春节到了，家家户户喜气洋洋。
心理描写-高兴,手舞足蹈,形容高兴到了极点，手脚都舞动起来了。,听到自己能上台表演，他高兴得手舞足蹈。
心理描写-高兴,心满意足,形容心里感到非常满足和高兴。,吃饱了晚饭，小狗心满意足地躺下了。
心理描写-高兴,兴致勃勃,形容兴趣很浓厚，非常有兴致。,我们兴致勃勃地去了新开的科技馆。
心理描写-高兴,乐此不疲,形容对做某事非常喜欢，一点也不觉得疲倦。,他玩拼图乐此不疲，一玩就是一下午。
心理描写-难过,心如刀割,形容内心非常痛苦，像被刀割一样。,听到好朋友要转学的消息，我心如刀割。
心理描写-难过,痛不欲生,形容悲痛到了极点，不想再活下去了。,失去了多年的伙伴，他痛不欲生。
心理描写-难过,闷闷不乐,形容心情不舒畅，很不高兴的样子。,考试没考好，他一整天都闷闷不乐。
心理描写-难过,郁郁寡欢,形容心中苦闷，很少笑容。,自从搬家后，他变得郁郁寡欢的。
心理描写-难过,怅然若失,形容心情失落，好像失去了什么东西。,假期结束了，他怅然若失地走在上学路上。
心理描写-难过,百感交集,形容各种感受交织在一起，心情复杂。,毕业典礼上，看着熟悉的校园，我百感交集。
心理描写-紧张,心急如焚,形容心里非常着急，像火烧一样。,等了半天公交车还没来，我急得心急如焚。
心理描写-紧张,七上八下,形容心里慌乱不安，像十五个吊桶打水一样。,等待比赛结果时，我的心七上八下的。
心理描写-紧张,心乱如麻,形容心里很乱，像一团乱麻一样理不清。,作业太多，我心乱如麻，不知从哪做起。
心理描写-紧张,如坐针毡,形容心里有事坐不住，像坐在针毡上一样难受。,被老师点名回答问题，我如坐针毡。
心理描写-紧张,忐忑不安,形容心神不定，担心害怕。,发考卷的时候，我心里忐忑不安。
心理描写-紧张,迫不及待,形容急得不能再等，非常迫切。,放学铃一响，我迫不及待地冲出教室。
心理描写-紧张,急不可待,形容非常着急，一刻也等不了。,他急不可待地拆开了生日礼物。
心理描写-紧张,如临大敌,形容把情况看得非常严重，像面临大敌一样紧张。,第一次参加演出，大家如临大敌，紧张得不行。
心理描写-后悔,追悔莫及,形容后悔也来不及了。,没有好好复习，考试时才追悔莫及。
心理描写-后悔,悔不当初,形容后悔当初没有那样做或做了不该做的事。,他悔不当初，为什么没有听妈妈的话。
心理描写-后悔,后悔莫及,形容后悔也来不及了。,失去了才懂得珍惜，真是后悔莫及。
心理描写-后悔,悔恨交加,形容后悔和怨恨交织在一起。,他悔恨交加，泪水不停地往下流。
心理描写-后悔,抱憾终身,形容一辈子都感到遗憾。,没有见到爷爷最后一面，他抱憾终身。
心理描写-感动,热泪盈眶,形容激动得眼泪在眼眶里打转。,听到英雄的事迹，我热泪盈眶。
心理描写-感动,感激涕零,形容非常感激，流下了眼泪。,被救的小女孩感激涕零地谢过消防员叔叔。
心理描写-感动,感慨万分,形容非常感慨，有很多感触。,看着老照片，他感慨万分。
心理描写-感动,激动不已,形容非常激动，控制不住自己。,见到分别多年的朋友，他激动不已。
心理描写-感动,百感交集,形容各种感触交织在一起。,站在领奖台上，他百感交集。
心理描写-感动,难以言表,形容内心的感受用语言表达不出来。,收到这份礼物，我的感激之情难以言表。
心理描写-思念,归心似箭,形容回家的心情非常急切，像箭一样快。,放假了，同学们归心似箭。
心理描写-思念,朝思暮想,形容早晚都在想念，非常思念。,我终于来到了朝思暮想的大海边。
心理描写-思念,魂牵梦萦,形容极为思念，连做梦都在想。,那是让我魂牵梦萦的家乡。
心理描写-思念,牵肠挂肚,形容非常挂念，很不放心。,妈妈总是对我牵肠挂肚的。
心理描写-思念,念念不忘,形容一直记在心上，不会忘记。,老师的教诲我念念不忘。
品质性格-善良,助人为乐,以帮助别人为快乐。,小明总是助人为乐，同学们都很喜欢他。
品质性格-善良,舍己为人,牺牲自己的利益去帮助别人。,消防员叔叔舍己为人的精神值得我们学习。
品质性格-善良,与人为善,和别人友好相处，善待他人。,妈妈教育我要与人为善，多帮助别人。
品质性格-善良,乐善好施,喜欢做好事，愿意帮助有困难的人。,他乐善好施，经常捐钱给山区的孩子。
品质性格-善良,雪中送炭,在别人最困难的时候送去帮助。,在我生病的时候，同学们给我补课，真是雪中送炭。
品质性格-善良,古道热肠,形容待人真诚、热情、乐于助人。,邻居叔叔古道热肠，总帮大家修东西。
品质性格-善良,仁至义尽,形容对人的帮助已经做到了最大的限度。,他帮助朋友已经做到了仁至义尽。
品质性格-善良,善解人意,善于理解别人的心意和感受。,她非常善解人意，总能在别人难过时给予安慰。
品质性格-勇敢,奋不顾身,奋勇向前，不顾自己的安危。,警察叔叔奋不顾身地抓住了歹徒。
品质性格-勇敢,临危不惧,面对危险毫不畏惧。,他临危不惧，冷静地拨打了急救电话。
品质性格-勇敢,视死如归,把死看作回家一样，形容不怕死。,战士们视死如归，坚守阵地。
品质性格-勇敢,勇往直前,勇敢地一直向前进。,遇到困难我们要勇往直前，不要退缩。
品质性格-勇敢,无所畏惧,什么都不怕。,他无所畏惧地走进了那片黑暗的森林。
品质性格-勇敢,挺身而出,勇敢地站出来承担或面对。,看到有人落水，他挺身而出跳进河里。
品质性格-勇敢,见义勇为,看到正义的事情就勇敢地去做。,他见义勇为，帮助被欺负的同学。
品质性格-勇敢,英勇无畏,非常勇敢，什么都不怕。,消防员英勇无畏地冲进了火场。
品质性格-诚实,言行一致,说的和做的一样，表里如一。,我们要做一个言行一致的好孩子。
品质性格-诚实,一诺千金,许下的诺言值千金，形容说话算话。,他答应的事一定会做到，真是一诺千金。
品质性格-诚实,实事求是,按照实际情况说话做事，不夸大也不缩小。,我们要实事求是地反映问题。
品质性格-诚实,光明磊落,形容心地光明，做事坦荡。,做人要光明磊落，不要偷偷摸摸。
品质性格-诚实,表里如一,外表和内心一样，形容真诚不虚伪。,他是一个表里如一的好朋友。
品质性格-诚实,开诚布公,坦白无私，真诚地表达自己的看法。,我们开诚布公地谈了谈自己的想法。
品质性格-诚实,言而有信,说话算数，讲信用。,做人要言而有信，不能随便答应又做不到。
品质性格-勤奋,废寝忘食,顾不上睡觉和吃饭，形容非常专心努力。,为了准备比赛，他废寝忘食地练习。
品质性格-勤奋,孜孜不倦,非常勤奋努力，不知疲倦。,老师孜孜不倦地教导我们。
品质性格-勤奋,勤能补拙,勤奋可以弥补天资的不足。,他相信勤能补拙，每天都比别人多学一小时。
品质性格-勤奋,兢兢业业,形容做事小心谨慎，认真负责。,爸爸兢兢业业地工作了很多年。
品质性格-勤奋,手不释卷,手里总是拿着书本，形容读书非常勤奋。,他手不释卷，一有时间就看书。
品质性格-勤奋,闻鸡起舞,听到鸡叫就起来练武，形容非常勤奋。,他闻鸡起舞，坚持每天早上跑步。
品质性格-勤奋,夜以继日,用晚上的时间接上白天，形容日夜不停地做事。,医护工作者夜以继日地救治病人。
品质性格-勤奋,分秒必争,连一分一秒都要争取，形容抓紧时间。,考场上，大家分秒必争地答题。
品质性格-勤奋,锲而不舍,比喻坚持不懈，不半途而废。,学习要有锲而不舍的精神，不能三天打鱼两天晒网。
品质性格-勤奋,滴水石穿,比喻力量虽小，但只要坚持不懈，就能成功。,他每天练字一小时，终于滴水石穿，写出一手好字。
品质性格-勤奋,笨鸟先飞,比喻能力差的人怕落后，就比别人先行动。,他知道自己基础差，就笨鸟先飞，提前预习功课。
品质性格-勤奋,埋头苦干,专心致志，勤奋工作。,科学家们埋头苦干，终于研究出了新成果。
品质性格-团结,齐心协力,大家共同努力，思想一致。,大家齐心协力，很快就把教室打扫干净了。
品质性格-团结,众志成城,大家团结一致，力量就像城墙一样坚固。,全国人民众志成城，战胜了灾害。
品质性格-团结,风雨同舟,比喻在困难中互相帮助，共同度过难关。,我们风雨同舟，一起走过了最艰难的日子。
品质性格-团结,万众一心,千万人一条心，形容团结一致。,万众一心，就没有克服不了的困难。
品质性格-团结,同舟共济,比喻在困难中团结互助，共同前进。,同学们同舟共济，一起完成了这次任务。
品质性格-团结,团结一致,大家团结起来，朝着同一个方向努力。,我们班团结一致，获得了拔河比赛的冠军。
品质性格-团结,和衷共济,大家一起同心协力，克服困难。,在困难面前，大家和衷共济，共渡难关。
品质性格-团结,志同道合,形容志向相同，意见相合。,我们是一群志同道合的好朋友。
品质性格-节约,勤俭节约,勤劳而节俭，不浪费。,爷爷一生勤俭节约，从不浪费一粒米。
品质性格-节约,省吃俭用,形容生活非常节俭。,父母省吃俭用供我上学。
品质性格-节约,精打细算,在使用人力物力时仔细计算，不浪费。,妈妈精打细算地安排家里的开支。
品质性格-节约,物尽其用,让每样东西都发挥它的作用。,她物尽其用，把旧衣服改成了布袋子。
品质性格-节约,开源节流,比喻增加收入，节省开支。,我们要学会开源节流，合理用钱。
品质性格-节约,节衣缩食,省吃省穿，生活节俭。,为了给我买书，妈妈节衣缩食。
品质性格-骄傲,骄傲自满,自以为了不起，满足于已有的成绩。,我们不能骄傲自满，要不断进步。
品质性格-骄傲,目中无人,眼里没有别人，形容非常傲慢。,他学习好就目中无人，大家都不喜欢他。
品质性格-骄傲,自高自大,自以为了不起，看不起别人。,自高自大的人很难交到朋友。
品质性格-骄傲,夜郎自大,比喻无知又狂妄自大。,我们要多出去看看，不要夜郎自大。
品质性格-骄傲,妄自尊大,狂妄地自以为了不起。,他刚当上班长就妄自尊大，大家都很不满。
品质性格-骄傲,盛气凌人,以傲慢的气势压人。,他说话总是盛气凌人的，让人很不舒服。
品质性格-谦虚,不骄不躁,不骄傲不急躁，态度平和。,我们要保持不骄不躁的学习态度。
品质性格-谦虚,虚怀若谷,胸怀像山谷一样深广，形容非常谦虚。,虽然取得了很大成就，但他依然虚怀若谷。
品质性格-谦虚,谦虚谨慎,虚心而不自满，做事小心慎重。,我们要做一个谦虚谨慎的好学生。
品质性格-谦虚,戒骄戒躁,警惕自己产生骄傲和急躁的情绪。,老师教育我们要戒骄戒躁，继续努力。
品质性格-谦虚,学无止境,学习没有尽头，不能自满。,学无止境，我们永远不能停止学习。
品质性格-谦虚,不耻下问,不以向学问比自己差的人请教为耻。,他学习好却仍然不耻下问，值得我们学习。
品质性格-谦虚,洗耳恭听,洗干净耳朵恭恭敬敬地听，形容认真听对方说话。,老师讲话时，同学们洗耳恭听。
品质性格-坚强,不屈不挠,形容意志坚强，不向困难低头。,他遇到挫折不屈不挠，终于取得了成功。
品质性格-坚强,百折不挠,无论遭受多少次挫折都不退缩。,爱迪生经过百折不挠的努力，终于发明了电灯。
品质性格-坚强,坚韧不拔,形容意志坚定，不可动摇。,他有着坚韧不拔的意志力。
品质性格-坚强,自强不息,自己努力向上，永不停止。,虽然身患残疾，但他自强不息，考上了大学。
品质性格-坚强,迎难而上,面对困难勇敢前进。,我们要迎难而上，而不是知难而退。
品质性格-坚强,知难而进,知道有困难还要前进。,他有一种知难而进的精神。
品质性格-坚强,顽强拼搏,非常坚强，用尽全力去争取。,运动员们在赛场上顽强拼搏。
品质性格-公正,铁面无私,形容办事公正严明，不讲私情。,包公铁面无私，是公正的代表。
品质性格-公正,大公无私,一心为公，没有私心。,他大公无私地处理了这件事。
品质性格-公正,秉公办事,按照公正的原则处理事情。,老师秉公办事，对每个同学都一视同仁。
品质性格-公正,一视同仁,对所有人都平等看待。,老师对每个学生一视同仁。
品质性格-公正,刚正不阿,刚强正直，不迎合别人。,他为人刚正不阿，很受人尊敬。
品质性格-贪婪,见利忘义,看到利益就忘了道义。,他为了钱见利忘义，出卖了朋友。
品质性格-贪婪,贪得无厌,贪心永远不满足。,他贪得无厌，有了还想要更多。
品质性格-贪婪,自私自利,只为自己打算，不顾别人。,自私自利的人不会有真朋友。
品质性格-贪婪,唯利是图,只要有利就去追求，什么都不管。,那些唯利是图的商人迟早会失去顾客。
品质性格-贪婪,不劳而获,自己不劳动却想获得成果。,我们要靠劳动吃饭，不能有不劳而获的想法。
品质性格-懒惰,好逸恶劳,贪图安逸，厌恶劳动。,他好逸恶劳，作业都不愿意写。
品质性格-懒惰,游手好闲,整天闲逛，不做事。,他整天游手好闲，什么也不做。
品质性格-懒惰,好吃懒做,喜欢吃好的却不愿意劳动。,他好吃懒做，成绩越来越差。
品质性格-懒惰,三天打鱼两天晒网,比喻做事断断续续，没有恒心。,他学钢琴三天打鱼两天晒网，所以一直没进步。
品质性格-懒惰,一曝十寒,晒一天冻十天，比喻勤奋时少懒惰时多。,学习不能一曝十寒，要坚持每天进步。
动作描写-走,昂首阔步,抬起头，大步向前走，形容精神振奋。,运动员们昂首阔步地走进体育场。
动作描写-走,大步流星,形容步子很大，走得很快。,他大步流星地走进教室。
动作描写-走,健步如飞,步伐矫健有力，走得像飞一样快。,爷爷虽然七十岁了，走起路来依然健步如飞。
动作描写-走,蹑手蹑脚,形容走路很轻很小心，怕发出声音。,我蹑手蹑脚地走进房间，不想吵醒妈妈。
动作描写-走,步履蹒跚,形容走路腿脚不方便，摇摇晃晃的。,那位老奶奶步履蹒跚地过马路。
动作描写-走,东张西望,东边看看，西边望望，形容到处看。,上课要专心听讲，不要东张西望。
动作描写-走,左顾右盼,左边看看，右边看看，形容犹豫不决的样子。,他在路口左顾右盼，不知道该往哪走。
动作描写-走,大摇大摆,走路时身体摇摇摆摆，形容傲慢的样子。,他大摇大摆地走进来，一副很了不起的样子。
动作描写-走,姗姗来迟,形容慢腾腾地来晚了。,他每次开会都姗姗来迟。
动作描写-走,行色匆匆,形容出发行走时神色匆忙。,街上的人们行色匆匆，都在赶着去上班。
动作描写-跑,飞奔而去,形容飞快地跑过去。,下课铃一响，他飞奔而去。
动作描写-跑,落荒而逃,形容失败后慌慌张张地逃跑。,黄鼠狼被大鹅追得落荒而逃。
动作描写-跑,穷追不舍,拼命地追赶，不放弃。,警察对坏人穷追不舍，终于抓住了他。
动作描写-跑,撒腿就跑,形容一转身就飞快地跑掉。,看到妈妈来了，他撒腿就跑过去迎接。
动作描写-跑,紧追不舍,紧紧地追赶，不放松。,他紧追不舍，终于追上了前面的选手。
动作描写-跑,拔腿就跑,形容一抬腿就赶紧跑。,听到铃声，他拔腿就跑往教室冲。
动作描写-看,目不转睛,眼睛一眨不眨地盯着看。,他目不转睛地盯着屏幕上的电影。
动作描写-看,极目远眺,用尽眼力向远处看。,站在山顶极目远眺，整个城市尽收眼底。
动作描写-看,左顾右盼,左右不停地看来看去。,过马路时不要左顾右盼，要专心看路。
动作描写-看,东张西望,到处乱看，不专心。,考试时不要东张西望。
动作描写-看,探头探脑,伸着头偷偷地看。,他躲在门后探头探脑地想看看屋里有什么。
动作描写-看,虎视眈眈,像老虎一样凶狠地盯着看。,狮子虎视眈眈地盯着它的猎物。
动作描写-看,走马观花,骑在马上看花，比喻粗略地看。,去博物馆不要走马观花，要认真看每一个展品。
动作描写-看,一览无余,一眼望去，全部看得清清楚楚。,从摩天轮上望去，整个公园一览无余。
动作描写-看,翘首以盼,抬起头来盼望，形容非常期待。,同学们翘首以盼，等着老师的到来。
