group,sentence,explanation,example
写景-夏,绿树阴浓夏日长，楼台倒影入池塘。,绿树的浓荫下夏日显得漫长，楼台的倒影映在池塘里。写夏日午后的宁静。,"""绿树阴浓夏日长，楼台倒影入池塘""，夏天的午后真悠闲。"
写景-秋,停车坐爱枫林晚，霜叶红于二月花。,停下车来是因为喜欢枫林的晚景，经霜的枫叶比二月的花还红。写秋天枫叶的美丽。,"看到满山红叶，我感叹""停车坐爱枫林晚，霜叶红于二月花""。"
写景-秋,远上寒山石径斜，白云生处有人家。,深秋的山间石径蜿蜒，白云飘起的地方住着人家。写秋天山间的景色。,"""远上寒山石径斜，白云生处有人家""，秋天的山里真美。"
写景-秋,自古逢秋悲寂寥，我言秋日胜春朝。,自古以来人们悲叹秋天寂寞，我却说秋天比春天还要好。写秋天的豪迈乐观。,"我不同意""自古逢秋悲寂寥，我言秋日胜春朝""，秋天也很美。"
写景-秋,晴空一鹤排云上，便引诗情到碧霄。,晴空万里的秋天一只白鹤排云而上，把我的诗情带到了碧蓝的天空。写秋天的开阔高远。,"看到蓝天上的飞鸟，我想起""晴空一鹤排云上，便引诗情到碧霄""。"
写景-秋,空山新雨后，天气晚来秋。,秋雨后的山中格外清新，傍晚的天气带着秋意。写秋天山雨后的清新。,"""空山新雨后，天气晚来秋""，山里雨后的空气真好。"
写景-秋,明月松间照，清泉石上流。,月光透过松林照射下来，清泉在石头上淙淙流淌。写秋天夜晚的宁静。,"""明月松间照，清泉石上流""，这画面太美了。"
写景-秋,萧萧梧叶送寒声，江上秋风动客情。,风吹梧桐叶发出萧萧声送来寒意，江上的秋风牵动了游子的思乡之情。写秋风的萧瑟。,"""萧萧梧叶送寒声，江上秋风动客情""，秋天的风让人想家。"
写景-秋,湖光秋月两相和，潭面无风镜未磨。,湖光和秋月相互辉映，湖面像没有打磨的铜镜一样平静。写秋天湖面的平静。,"""湖光秋月两相和，潭面无风镜未磨""，洞庭湖的月色太美了。"
写景-秋,一年好景君须记，最是橙黄橘绿时。,一年中最好的景色你要记住，就是橙黄橘绿的秋天时节。写秋天丰收的美好。,"""一年好景君须记，最是橙黄橘绿时""，秋天的果园最迷人。"
写景-秋,荷尽已无擎雨盖，菊残犹有傲霜枝。,荷叶枯尽不再像举着的雨伞，菊花残了还有傲霜的枝干。写秋天景物的变化。,"""荷尽已无擎雨盖，菊残犹有傲霜枝""，秋天也有它独特的美。"
写景-冬,千山鸟飞绝，万径人踪灭。,群山中不见一只鸟，所有路上不见一个人影。写冬天大雪后的寂静。,"雪后整个世界都安静了，让我想起""千山鸟飞绝，万径人踪灭""。"
写景-冬,孤舟蓑笠翁，独钓寒江雪。,江上只有一叶孤舟和一个披蓑衣戴斗笠的老翁，在寒江上独钓。写冬日江上的孤独意境。,"""孤舟蓑笠翁，独钓寒江雪""，这幅画很有诗意。"
写景-冬,忽如一夜春风来，千树万树梨花开。,忽然像一夜春风吹来，千万棵树上的雪像梨花一样盛开。写雪后美景。,"雪后树上挂满积雪，""忽如一夜春风来，千树万树梨花开""。"
写景-冬,墙角数枝梅，凌寒独自开。,墙角有几枝梅花，在寒冷中独自开放。写梅花不畏严寒的品格。,"""墙角数枝梅，凌寒独自开""，梅花真坚强。"
写景-冬,遥知不是雪，为有暗香来。,远远知道那不是雪，因为有淡淡的香味飘过来。写梅花的清香。,"""遥知不是雪，为有暗香来""，梅花的香气真好闻。"
写景-冬,梅须逊雪三分白，雪却输梅一段香。,梅花在洁白上比雪差三分，雪在香气上输给梅花一段。写雪和梅各有千秋。,"""梅须逊雪三分白，雪却输梅一段香""，雪和梅各有特色。"
写景-冬,日暮苍山远，天寒白屋贫。,暮色中苍山显得更加遥远，天寒地冻中简陋的茅屋更显贫寒。写冬日山村的景象。,"""日暮苍山远，天寒白屋贫""写出了冬夜的寒冷。"
写景-山水,飞流直下三千尺，疑是银河落九天。,瀑布从三千尺高处飞流直下，让人怀疑是银河从九天落下来。写瀑布的壮丽。,"看到瀑布我脱口而出""飞流直下三千尺，疑是银河落九天""。"
写景-山水,日照香炉生紫烟，遥看瀑布挂前川。,阳光照在香炉峰上生出紫色烟雾，远看瀑布像挂在山前。写庐山瀑布的壮观。,"""日照香炉生紫烟，遥看瀑布挂前川""，庐山真美。"
写景-山水,会当凌绝顶，一览众山小。,一定要登上泰山的顶峰，那时看群山都会显得很小。写登高望远的豪情。,"""会当凌绝顶，一览众山小""，我们学习也要有这种志气。"
写景-山水,横看成岭侧成峰，远近高低各不同。,从正面看是山岭从侧面看是山峰，远近高低各不相同。写从不同角度看山有不同的样子。,"""横看成岭侧成峰，远近高低各不同""，看问题也要多角度看。"
写景-山水,不识庐山真面目，只缘身在此山中。,看不清庐山的真面目，只是因为自己身在山中。写当局者迷的道理。,"""不识庐山真面目，只缘身在此山中""，有时我们看不清自己是因为身在局中。"
写景-山水,两岸青山相对出，孤帆一片日边来。,两岸青山相对着出现，一片孤帆从太阳那边驶来。写长江两岸的壮丽景色。,"""两岸青山相对出，孤帆一片日边来""，长江两岸真壮观。"
写景-山水,白日依山尽，黄河入海流。,太阳傍山落下，黄河向海奔流。写夕阳西下黄河东流的壮阔景象。,"""白日依山尽，黄河入海流""，登上鹳雀楼看到的景色太壮观了。"
写景-山水,欲穷千里目，更上一层楼。,要想看得更远，就要再登上一层楼。比喻站得高看得远。,"""欲穷千里目，更上一层楼""，我要继续努力才能获得更好的成绩。"
写景-山水,水光潋滟晴方好，山色空蒙雨亦奇。,晴天水波闪闪很好，雨中山色迷蒙也很奇美。写西湖晴天和雨天都很美。,"""水光潋滟晴方好，山色空蒙雨亦奇""，西湖什么时候都美。"
写景-山水,欲把西湖比西子，淡妆浓抹总相宜。,想把西湖比作西施，淡妆和浓妆都很适合。写西湖不管什么时候都很美丽。,"""欲把西湖比西子，淡妆浓抹总相宜""，这个比喻太妙了。"
写景-山水,大漠孤烟直，长河落日圆。,大漠中一缕孤烟直上，长河边一轮落日浑圆。写大漠壮丽的景色。,"""大漠孤烟直，长河落日圆""，大漠的景色真壮美。"
写景-花鸟,留连戏蝶时时舞，自在娇莺恰恰啼。,流连花丛的蝴蝶不停地飞舞，自由自在的黄莺在婉转啼叫。写春天的花鸟生机。,"花园里""留连戏蝶时时舞，自在娇莺恰恰啼""，好一派春景。"
写景-花鸟,两个黄鹂鸣翠柳，一行白鹭上青天。,两只黄鹂在翠柳上鸣叫，一行白鹭飞上蓝蓝的天空。写春天的色彩和生机。,"""两个黄鹂鸣翠柳，一行白鹭上青天""，春天的颜色真美。"
写景-花鸟,泥融飞燕子，沙暖睡鸳鸯。,泥土变软了燕子飞来衔泥筑巢，沙子晒暖了鸳鸯卧在上面休息。写春天的温暖和生机。,"""泥融飞燕子，沙暖睡鸳鸯""，春天的一切都那么美好。"
写景-花鸟,人闲桂花落，夜静春山空。,人闲下来才能发现桂花飘落，夜晚的春山显得格外空寂。写春天的宁静。,"""人闲桂花落，夜静春山空""，安静的时候才能感受自然的美。"
写景-花鸟,西塞山前白鹭飞，桃花流水鳜鱼肥。,西塞山前白鹭在飞，桃花盛开流水中鳜鱼正肥。写春天江南水乡的美丽。,"""西塞山前白鹭飞，桃花流水鳜鱼肥""，这首诗像一幅画。"
写景-花鸟,无可奈何花落去，似曾相识燕归来。,花儿无奈地凋落，去年的燕子又飞回来了。写对时光流逝的感叹。,"""无可奈何花落去，似曾相识燕归来""，春天又来了。"
写景-花鸟,儿童急走追黄蝶，飞入菜花无处寻。,小孩跑着追黄蝴蝶，蝴蝶飞进油菜花里就找不到了。写儿童的天真有趣。,"""儿童急走追黄蝶，飞入菜花无处寻""，童年的快乐就是这么简单。"
送别友情,海内存知己，天涯若比邻。,只要心中有知己，即使远在天边也像邻居一样亲近。写友情的珍贵。,"好朋友要搬家了，但""海内存知己，天涯若比邻""，我们的友谊不会变。"
送别友情,桃花潭水深千尺，不及汪伦送我情。,桃花潭水有千尺深，也比不上汪伦送我的情意深。写友情的深厚。,"""桃花潭水深千尺，不及汪伦送我情""，朋友的感情最珍贵。"
送别友情,孤帆远影碧空尽，唯见长江天际流。,孤帆的影子消失在蓝天的尽头，只看到长江水向天边流去。写送别的深情。,"送好朋友上车后，""孤帆远影碧空尽，唯见长江天际流""。"
送别友情,劝君更尽一杯酒，西出阳关无故人。,再请你喝一杯酒吧，出了阳关就再遇不到老朋友了。写送别时的依依不舍。,"毕业时我想说""劝君更尽一杯酒，西出阳关无故人""。"
送别友情,莫愁前路无知己，天下谁人不识君。,不要担心前面的路上没有知心朋友，天下谁不认识你呢？写对朋友的鼓励。,"好朋友要去新学校了，我对他说""莫愁前路无知己，天下谁人不识君""。"
送别友情,又送王孙去，萋萋满别情。,又一次送别朋友离去，连茂盛的野草都充满了离别之情。写离别时的不舍。,"""又送王孙去，萋萋满别情""，送别总是让人伤感。"
送别友情,我寄愁心与明月，随风直到夜郎西。,我把对朋友的担心托付给明月，让它随着风一直陪到朋友身边。写对远方朋友的牵挂。,"""我寄愁心与明月，随风直到夜郎西""，朋友我想你。"
送别友情,洛阳亲友如相问，一片冰心在玉壶。,洛阳的亲友如果问起我，就说我的心像玉壶里的冰一样纯洁。写自己的高洁品格。,"""洛阳亲友如相问，一片冰心在玉壶""，我始终保持纯洁的心。"
思乡怀亲,举头望明月，低头思故乡。,抬起头看到明亮的月亮，低下头思念起故乡。写月夜思乡之情。,"中秋节我抬头看月亮，""举头望明月，低头思故乡""。"
思乡怀亲,独在异乡为异客，每逢佳节倍思亲。,一个人在外乡做客，每到节日就加倍思念亲人。写节日思亲的心情。,"在外地读书时，""独在异乡为异客，每逢佳节倍思亲""。"
思乡怀亲,遥知兄弟登高处，遍插茱萸少一人。,遥想兄弟们今日登高插茱萸，只少了我一个人。写重阳节思念亲人。,"重阳节时想起""遥知兄弟登高处，遍插茱萸少一人""。"
思乡怀亲,春风又绿江南岸，明月何时照我还。,春风又吹绿了江南，明月什么时候才能照我回家呢？写思乡盼归之情。,"看到窗外的春色，我想到""春风又绿江南岸，明月何时照我还""。"
思乡怀亲,少小离家老大回，乡音无改鬓毛衰。,年少时离开家老了才回来，口音没变但头发已经白了。写久别回乡的感受。,"爷爷说""少小离家老大回，乡音无改鬓毛衰""，他离开家乡太久了。"
思乡怀亲,儿童相见不相识，笑问客从何处来。,小孩子看到我都不认识，笑着问客人从哪里来。写回乡时的陌生感。,"""儿童相见不相识，笑问客从何处来""，这种感觉真让人感慨。"
思乡怀亲,烽火连三月，家书抵万金。,战争连续三个月，一封家书抵得上万两黄金。写战乱中家书的珍贵。,"""烽火连三月，家书抵万金""，虽然现在没有战争，但爸妈的信同样珍贵。"
思乡怀亲,谁言寸草心，报得三春晖。,谁说小草的心意能报答得了春天的阳光呢？比喻子女的孝心难报母爱。,"""谁言寸草心，报得三春晖""，妈妈的爱我永远报答不完。"
思乡怀亲,慈母手中线，游子身上衣。,慈母手中的针线，缝成了出门在外的孩子身上的衣服。写母爱的细腻。,"""慈母手中线，游子身上衣""，妈妈的爱就在一针一线里。"
思乡怀亲,临行密密缝，意恐迟迟归。,临走前密密的缝线，是担心孩子迟迟不回来。写母亲对孩子的牵挂。,"每次离家妈妈都要帮我检查行李，""临行密密缝，意恐迟迟归""。"
爱国报国,人生自古谁无死，留取丹心照汗青。,自古以来谁没有一死？要留下一颗赤诚的心照亮史册。写视死如归的爱国精神。,"文天祥说""人生自古谁无死，留取丹心照汗青""，他的气节令人敬佩。"
爱国报国,黄沙百战穿金甲，不破楼兰终不还。,大漠中身经百战铠甲都磨破了，不攻破楼兰绝不回家。写将士的英勇报国。,"""黄沙百战穿金甲，不破楼兰终不还""，战士们真勇敢。"
爱国报国,但使龙城飞将在，不教胡马度阴山。,只要龙城的飞将军还在，就不会让敌人的骑兵跨过阴山。写保家卫国的决心。,"""但使龙城飞将在，不教胡马度阴山""，我们要像飞将军一样保卫国家。"
爱国报国,生当作人杰，死亦为鬼雄。,活着要做人中豪杰，死了也要做鬼中英雄。写英雄气概。,"李清照说""生当作人杰，死亦为鬼雄""，我们做人要有骨气。"
爱国报国,至今思项羽，不肯过江东。,到现在还思念项羽，他宁死也不肯回到江东。写宁死不屈的精神。,"""至今思项羽，不肯过江东""，项羽的骨气令人敬佩。"
爱国报国,先天下之忧而忧，后天下之乐而乐。,在天下人忧愁之前先忧愁，在天下人享乐之后才享乐。写忧国忧民的精神。,"范仲淹""先天下之忧而忧，后天下之乐而乐""的精神值得学习。"
爱国报国,天下兴亡，匹夫有责。,国家的兴亡，每一个普通人都负有责任。写每个人的爱国责任。,"""天下兴亡，匹夫有责""，我们小学生也要为祖国做贡献。"
爱国报国,王师北定中原日，家祭无忘告乃翁。,朝廷的军队收复中原的那天，家祭时不要忘了告诉我。写至死不渝的爱国之情。,"陆游的""王师北定中原日，家祭无忘告乃翁""让人感动。"
励志理想,长风破浪会有时，直挂云帆济沧海。,总有一天能乘长风破巨浪，高挂云帆横渡沧海。写对未来的坚定信心。,"遇到困难时我告诉自己""长风破浪会有时，直挂云帆济沧海""。"
励志理想,天生我材必有用，千金散尽还复来。,上天降生我就一定有用处，千金散尽了还会再回来。写自信乐观的态度。,"""天生我材必有用，千金散尽还复来""，每个人都有自己的价值。"
励志理想,大鹏一日同风起，扶摇直上九万里。,大鹏鸟一日随风飞起，就能飞到九万里高空。写远大的志向。,"""大鹏一日同风起，扶摇直上九万里""，我也有远大的梦想。"
励志理想,千淘万漉虽辛苦，吹尽狂沙始到金。,经过千万遍的淘洗虽然辛苦，吹尽了泥沙才能得到金子。写坚持不懈终有所成。,"学习就像""千淘万漉虽辛苦，吹尽狂沙始到金""，坚持才能成功。"
励志理想,沉舟侧畔千帆过，病树前头万木春。,沉船的旁边千帆竞发，病树的前面万木逢春。写新事物终将取代旧事物。,"""沉舟侧畔千帆过，病树前头万木春""，失败后总会有新的希望。"
励志理想,山重水复疑无路，柳暗花明又一村。,山重水复好像没有路了，柳绿花艳中又出现了一个村庄。写绝处逢生。,"做这道难题时""山重水复疑无路，柳暗花明又一村""，终于想出来了。"
励志理想,路漫漫其修远兮，吾将上下而求索。,前面的路又长又远，我要上上下下去追寻探索。写对真理的执着追求。,"""路漫漫其修远兮，吾将上下而求索""，学习之路永无止境。"
励志理想,业精于勤，荒于嬉；行成于思，毁于随。,学业因勤奋而精进，因玩乐而荒废；德行因思考而成就，因随便而毁坏。写勤奋的重要性。,"""业精于勤，荒于嬉；行成于思，毁于随""，我要勤奋学习。"
励志理想,莫等闲，白了少年头，空悲切。,不要虚度光阴，等白了少年头空自悲伤。写珍惜时光努力奋斗。,"""莫等闲，白了少年头，空悲切""，我要珍惜现在的时光。"
励志理想,少壮不努力，老大徒伤悲。,年轻时不努力，到老了只能空自悲伤。写年少努力的重要。,"每当想偷懒时我就想起""少壮不努力，老大徒伤悲""。"
励志理想,盛年不重来，一日难再晨。,壮年不会再来第二次，一天不会有两个早晨。写时间宝贵要珍惜。,"""盛年不重来，一日难再晨""，我要珍惜每一天。"
励志理想,青春须早为，岂能长少年。,青春年少要及早努力，人哪能永远是少年呢？写少年要珍惜时光努力奋斗。,"""青春须早为，岂能长少年""，我要趁现在好好学习。"
励志理想,读书破万卷，下笔如有神。,读了一万卷书，写起文章来就像有神助一样。写多读书的好处。,"""读书破万卷，下笔如有神""，多读书才能写好作文。"
励志理想,纸上得来终觉浅，绝知此事要躬行。,从书本上得到的知识终觉浅薄，要彻底弄懂必须亲身实践。写实践的重要。,"""纸上得来终觉浅，绝知此事要躬行""，光看书是不够的。"
励志理想,问渠那得清如许，为有源头活水来。,问渠水为什么这么清澈，因为有源头活水不断流来。写要不断学习新知识。,"""问渠那得清如许，为有源头活水来""，我们要不断学习才能保持进步。"
生活感悟,采菊东篱下，悠然见南山。,在东篱下采菊花，不经意间看到了南山。写悠闲自在的田园生活。,"""采菊东篱下，悠然见南山""，我也想过这样悠闲的生活。"
生活感悟,行到水穷处，坐看云起时。,走到水流尽头无路可走时，就坐下来看云彩升起。写顺其自然的心境。,"遇到困难时不妨""行到水穷处，坐看云起时""。"
生活感悟,蝉噪林逾静，鸟鸣山更幽。,蝉鸣声让树林显得更安静，鸟叫声让山显得更幽静。写以动衬静的意境。,"""蝉噪林逾静，鸟鸣山更幽""，山里的安静是这么美。"
生活感悟,春蚕到死丝方尽，蜡炬成灰泪始干。,春蚕到死吐丝才完，蜡烛成灰蜡泪才干。写无私奉献的精神。,"老师就像""春蚕到死丝方尽，蜡炬成灰泪始干""，默默付出。"
生活感悟,落红不是无情物，化作春泥更护花。,落花不是无情的东西，它化作春泥还能滋养花朵。写奉献精神。,"""落红不是无情物，化作春泥更护花""，我们要有奉献精神。"
生活感悟,谁道人生无再少？门前流水尚能西！,谁说人生不能再年轻？门前的流水还能向西流呢！写不服老的精神。,"""谁道人生无再少？门前流水尚能西！""只要有信心什么时候都不晚。"
生活感悟,竹杖芒鞋轻胜马，谁怕？一蓑烟雨任平生。,竹杖草鞋比骑马还轻快，有什么好怕的？一身蓑衣在风雨中走完一生。写豁达乐观的人生态度。,"苏轼""竹杖芒鞋轻胜马，谁怕？一蓑烟雨任平生""的豁达让人敬佩。"
咏物言志,不要人夸好颜色，只留清气满乾坤。,不稀罕别人夸颜色好看，只愿留下清香充满天地。写不图名利只求正气。,"王冕的""不要人夸好颜色，只留清气满乾坤""表现了他的高洁品格。"
咏物言志,千磨万击还坚劲，任尔东西南北风。,经历千次万次的磨炼依然坚韧，随便你从哪边吹来的风。写坚定不屈的精神。,"""千磨万击还坚劲，任尔东西南北风""，我们要像竹子一样坚韧。"
咏物言志,咬定青山不放松，立根原在破岩中。,竹根紧紧咬住青山不放松，原来它扎根在破碎的岩石中。写坚韧不拔的精神。,"""咬定青山不放松，立根原在破岩中""，竹子真顽强。"
咏物言志,粉身碎骨浑不怕，要留清白在人间。,粉身碎骨也不怕，只要把清白留在人世间。写宁死不屈的高尚品格。,"于谦说""粉身碎骨浑不怕，要留清白在人间""，这种气节令人敬佩。"
咏物言志,千锤万凿出深山，烈火焚烧若等闲。,经过千锤万凿从深山里出来，烈火焚烧也看作平常事。写不怕磨难的品格。,"""千锤万凿出深山，烈火焚烧若等闲""，我们也要有这种坚韧。"
咏物言志,大雪压青松，青松挺且直。,大雪压在青松上，青松依然挺立笔直。写坚强不屈的品格。,"""大雪压青松，青松挺且直""，我们要像青松一样坚强。"
咏物言志,俏也不争春，只把春来报。,梅花俏丽却不与百花争春，只是默默报告春天的到来。写无私奉献的精神。,"""俏也不争春，只把春来报""，梅花这种品格值得学习。"
咏物言志,居高声自远，非是藉秋风。,站在高处声音自然传得远，不是因为借助了秋风。写品格高尚自然声名远播。,"""居高声自远，非是藉秋风""，品德高尚的人自然受人尊敬。"
田园风光,绿树村边合，青山郭外斜。,绿树环绕着村庄，青山在城外斜立。写田园村庄的自然风光。,"""绿树村边合，青山郭外斜""，乡村的风景真美。"
田园风光,开轩面场圃，把酒话桑麻。,打开窗户面对谷场和菜园，举杯谈论农事。写田园生活的闲适。,"""开轩面场圃，把酒话桑麻""，这样的田园生活真令人向往。"
田园风光,莫笑农家腊酒浑，丰年留客足鸡豚。,不要笑农家的酒浑浊，丰收的年景有充足的鸡肉招待客人。写农家人的热情好客。,"""莫笑农家腊酒浑，丰年留客足鸡豚""，乡下人真热情。"
田园风光,昼出耘田夜绩麻，村庄儿女各当家。,白天去田里除草，晚上回来搓麻线，村里男女老少各忙各的。写农家的勤劳。,"""昼出耘田夜绩麻，村庄儿女各当家""，农民伯伯真辛苦。"
田园风光,梅子金黄杏子肥，麦花雪白菜花稀。,梅子金黄杏子肥美，麦花雪白菜花稀疏。写田园夏天的丰收景象。,"""梅子金黄杏子肥，麦花雪白菜花稀""，夏天的田园真美。"
儿童童趣,儿童散学归来早，忙趁东风放纸鸢。,孩子们放学回来得早，忙着趁东风放风筝。写儿童的天真快乐。,"""儿童散学归来早，忙趁东风放纸鸢""，我也喜欢放风筝。"
儿童童趣,蓬头稚子学垂纶，侧坐莓苔草映身。,一个头发乱蓬蓬的小孩学钓鱼，侧身坐在莓苔上草丛遮住了身体。写儿童的可爱天真。,"""蓬头稚子学垂纶，侧坐莓苔草映身""，小时候的我也这样。"
儿童童趣,路人借问遥招手，怕得鱼惊不应人。,路人问路他远远地摆手，怕把鱼吓跑不敢回答。写儿童钓鱼时专注的样子。,"""路人借问遥招手，怕得鱼惊不应人""，这个小孩太可爱了。"
儿童童趣,小娃撑小艇，偷采白莲回。,小孩撑着小船，偷偷采了白莲回来。写儿童的天真顽皮。,"""小娃撑小艇，偷采白莲回""，小时候我也做过这样的事。"
儿童童趣,最喜小儿亡赖，溪头卧剥莲蓬。,最喜欢小儿子调皮可爱，躺在溪边剥莲蓬吃。写儿童的顽皮可爱。,"""最喜小儿亡赖，溪头卧剥莲蓬""，这个画面真温馨。"
