group,sentence,explanation,example
行动实践,眼过千遍，不如手过一遍。,看一千遍不如亲手做一遍。,眼过千遍不如手过一遍，光看别人做自己不做是不行的。
团结合作,人心齐，泰山移。,大家心往一处想，连泰山都能移动，形容团结力量大。,我们班人心齐泰山移，拔河比赛肯定能赢。
团结合作,众人拾柴火焰高。,大家一起捡柴，火就会烧得很旺，比喻人多力量大。,众人拾柴火焰高，大家一起帮忙很快就完成了。
团结合作,三个臭皮匠，顶个诸葛亮。,人只要团结起来，集思广益，就能发挥大智慧。,三个臭皮匠顶个诸葛亮，我们一起想办法。
团结合作,一个篱笆三个桩，一个好汉三个帮。,篱笆需要桩子才能立起来，好汉也需要朋友的帮助。,一个篱笆三个桩一个好汉三个帮，学习上要互相帮助。
团结合作,一根筷子容易折，一把筷子难折断。,一根筷子容易折断，一把筷子就折不断了，比喻团结才有力量。,一根筷子容易折一把筷子难折断，我们班同学要团结。
团结合作,团结就是力量。,团结在一起就会产生巨大的力量。,拔河比赛中我们团结就是力量，战胜了对手。
团结合作,天时不如地利，地利不如人和。,天气时机不如地理条件，地理条件不如人心团结。,天时不如地利地利不如人和，团队团结最重要。
团结合作,家和万事兴。,家庭和睦了，一切事情都会兴旺。,我们家从来不吵架，因为大家知道家和万事兴。
团结合作,众人一条心，黄土变成金。,大家一条心，连黄土都能变成金子。,众人一条心黄土变成金，只要团结就没有办不到的事。
团结合作,单丝不成线，独木不成林。,一根丝纺不成线，一棵树成不了森林，比喻个人力量有限。,单丝不成线独木不成林，我们需要大家合作。
奋斗励志,宝剑锋从磨砺出，梅花香自苦寒来。,宝剑的锋利来自磨砺，梅花的香气来自苦寒，比喻成就来自努力。,宝剑锋从磨砺出梅花香自苦寒来，没有努力就没有成功。
奋斗励志,不经风雨，怎见彩虹。,不经历风雨就看不到彩虹，比喻不经历困难就得不到成功。,不经风雨怎见彩虹，吃这点苦算什么。
奋斗励志,天将降大任于斯人也，必先苦其心志，劳其筋骨。,上天要把重任交给一个人，必定先让他受苦受累来磨练他。,遇到困难时我就想天将降大任于斯人也必先苦其心志劳其筋骨。
奋斗励志,自古雄才多磨难，从来纨绔少伟男。,自古以来有才能的人都经历过磨难，富家子弟难得有出息。,自古雄才多磨难从来纨绔少伟男，生活在磨难中才能成长。
奋斗励志,失败是成功之母。,失败是成功的基础，从失败中吸取教训最终会成功。,不要气馁，失败是成功之母，下次一定会更好。
奋斗励志,有志者事竟成。,有志向的人最终会成功。,有志者事竟成，他经过努力终于考上了好学校。
奋斗励志,功夫不负有心人。,只要肯下功夫，就不会辜负有心人。,他每天练习，终于获得了冠军，功夫不负有心人。
奋斗励志,水滴石穿，绳锯木断。,水滴能把石头滴穿，绳子能把木头锯断，比喻坚持就能成功。,水滴石穿绳锯木断，坚持就是胜利。
奋斗励志,冰冻三尺，非一日之寒。,冰冻三尺厚不是一天的寒冷能造成的，比喻事情不是一朝一夕形成的。,冰冻三尺非一日之寒，他的成功是长期努力的结果。
奋斗励志,不积跬步，无以至千里。,不一步一步地走，就到不了千里远的地方，比喻积累的重要。,不积跬步无以至千里，每天背几个单词一年就会很多。
奋斗励志,长风破浪会有时，直挂云帆济沧海。,总有一天会乘长风破万里浪，高挂云帆横渡大海，比喻终会成功。,长风破浪会有时直挂云帆济沧海，我对未来充满信心。
奋斗励志,山重水复疑无路，柳暗花明又一村。,山重叠水回绕好像没路了，忽然柳绿花艳又出现一个村庄，比喻绝处逢生。,做这道题时山重水复疑无路柳暗花明又一村，最后想到了解法。
奋斗励志,锲而不舍，金石可镂。,不停地雕刻，金属和石头也能刻出花纹，比喻坚持不懈。,学习要有锲而不舍金石可镂的精神。
奋斗励志,不怕路长，只怕志短。,不怕路有多远，就怕志向不够远大。,不怕路长只怕志短，只要目标明确就一定能到达。
奋斗励志,三分天注定，七分靠打拼。,三分靠运气，七分靠努力。,三分天注定七分靠打拼，我要靠自己的努力取得好成绩。
奋斗励志,从哪里跌倒，就从哪里爬起来。,失败了不要紧，从哪里失败就从哪里重新开始。,这次考试没考好，从哪里跌倒就从哪里爬起来。
知人识人,路遥知马力，日久见人心。,路途遥远才知道马的力量，时间久了才知道人的心地。,路遥知马力日久见人心，相处久了就知道他是好人了。
知人识人,画虎画皮难画骨，知人知面不知心。,画老虎容易画皮难画骨，认识人容易了解心难。,画虎画皮难画骨知人知面不知心，交朋友要谨慎。
知人识人,近朱者赤，近墨者黑。,靠近朱砂会变红，靠近墨会变黑，比喻环境对人的影响很大。,近朱者赤近墨者黑，所以要跟好同学做朋友。
知人识人,海内存知己，天涯若比邻。,只要心中有知己，即使远在天边也像邻居一样近。,好朋友转学了，但海内存知己天涯若比邻，我们常联系。
知人识人,浇花浇根，交人交心。,浇花要浇根，交朋友要交心，比喻交友要真诚。,浇花浇根交人交心，真正的朋友要互相信任。
知人识人,酒逢知己千杯少，话不投机半句多。,遇到知心朋友喝酒千杯都嫌少，话不投机半句都嫌多。,他们两个聊得特别开心，真是酒逢知己千杯少话不投机半句多。
知人识人,君子之交淡如水。,君子之间的友谊像水一样清淡纯洁。,君子之交淡如水，他们的友谊不靠物质维系。
知人识人,患难见真情。,在患难中才能看出真正的感情。,他生病的时候同学们都来看他，真是患难见真情。
知人识人,岁寒知松柏，患难见真情。,天气冷了才知道松柏不凋谢，患难了才知道真情可贵。,岁寒知松柏患难见真情，这时候才知道谁是真朋友。
知人识人,疾风知劲草，烈火见真金。,大风中才知道哪些草是坚韧的，烈火中才能看出真金。,疾风知劲草烈火见真金，困难时才能看出一个人的品质。
知人识人,千金难买是朋友，朋友多了路好走。,真正的朋友很珍贵，朋友多办事就容易。,千金难买是朋友朋友多了路好走，所以我珍惜每一个朋友。
知人识人,有缘千里来相会，无缘对面不相逢。,有缘分的人远隔千里也会相见，没缘分的人面对面也不会认识。,我们能成为同学就是有缘千里来相会。
知人识人,多个朋友多条路，多个仇人多堵墙。,朋友多路就多，仇人多障碍就多。,多个朋友多条路多个仇人多堵墙，所以要友好待人。
生活智慧,塞翁失马，焉知非福。,塞翁丢了马，怎么知道不是好事呢？比喻坏事可能变成好事。,没考好没关系，塞翁失马焉知非福，下次会更认真。
生活智慧,有意栽花花不开，无心插柳柳成荫。,想种花却不开花，无意插的柳却成了荫，比喻有意做的不成，无意做的却成了。,我本想参加作文比赛却没选上，结果画画比赛被选上了，真是有意栽花花不开无心插柳柳成荫。
生活智慧,月有阴晴圆缺，人有悲欢离合。,月亮有圆缺的变化，人有悲欢离合的变迁。,月有阴晴圆缺人有悲欢离合，人生不可能事事完美。
生活智慧,福无双至，祸不单行。,幸福不会连续来两个，灾祸却往往不止一个。,刚丢了钱包又摔了一跤，真是福无双至祸不单行。
生活智慧,月满则亏，水满则溢。,月亮圆了就要缺，水满了就要溢，比喻事物发展到极点就会走向反面。,月满则亏水满则溢，做人不能太骄傲。
生活智慧,物极必反，否极泰来。,事物发展到极点就会向相反方向转变，坏到极点就会好转。,物极必反否极泰来，最困难的时候往往就是转机的时候。
生活智慧,智者千虑，必有一失；愚者千虑，必有一得。,聪明人考虑一千次总有一次失误，愚笨人考虑一千次总有一次收获。,智者千虑必有一失愚者千虑必有一得，我们要虚心听取别人的意见。
生活智慧,尺有所短，寸有所长。,尺有它的短处，寸有它的长处，比喻人和物各有优缺点。,尺有所短寸有所长，每个人都有自己的优势。
生活智慧,金无足赤，人无完人。,没有纯得十足的金子，也没有完美无缺的人。,金无足赤人无完人，谁都会犯错的。
生活智慧,人不可貌相，海水不可斗量。,不能仅凭外貌判断一个人，就像海水不能用斗来衡量。,人不可貌相海水不可斗量，他看起来普通但很有才华。
生活智慧,人无远虑，必有近忧。,没有长远的考虑，一定会有近在眼前的忧患。,人无远虑必有近忧，我们要提前做好计划。
生活智慧,生于忧患，死于安乐。,在忧患中生存，在安乐中灭亡，比喻要有危机意识。,生于忧患死于安乐，我们不能因为一时成绩好就放松学习。
生活智慧,天有不测风云，人有旦夕祸福。,天气有难以预测的风云，人有突然降临的灾祸。,天有不测风云人有旦夕祸福，我们要珍惜当下。
生活智慧,当局者迷，旁观者清。,当事人往往迷糊，旁观的人反而看得清楚。,当局者迷旁观者清，有时候需要听听别人的意见。
生活智慧,外行看热闹，内行看门道。,外行人只看表面热闹，内行人看其中的门道技巧。,看表演时外行看热闹内行看门道，专业的人能看出技术高低。
生活智慧,家家有本难念的经。,每个家庭都有自己的难处和烦恼。,家家有本难念的经，我们不要羡慕别人。
生活智慧,鱼和熊掌不可兼得。,鱼和熊掌不能同时得到，比喻好处不能都占。,学习和玩不能同时，鱼和熊掌不可兼得，先学好了再玩。
劳动节俭,锄禾日当午，汗滴禾下土。谁知盘中餐，粒粒皆辛苦。,农民在正午锄禾，汗水滴在土里，我们碗里的每一粒米都来之不易。,每次吃饭我都会想起锄禾日当午汗滴禾下土，所以从不剩饭。
劳动节俭,一分耕耘，一分收获。,付出一分劳动，就有一分收获。,一分耕耘一分收获，他努力了一年终于有了好成绩。
劳动节俭,勤劳致富，勤俭持家。,勤劳能致富，勤俭能持家。,勤劳致富勤俭持家，这是我们家世代传下来的。
劳动节俭,坐吃山空，立吃地陷。,只吃不做，山也会吃空地也会吃陷，比喻不劳动再大的家业也会败光。,坐吃山空立吃地陷，我们不能只花不挣。
劳动节俭,从俭入奢易，从奢入俭难。,从节俭变奢侈很容易，从奢侈变节俭却很难。,从俭入奢易从奢入俭难，所以我们平时要养成节俭的好习惯。
劳动节俭,常将有日思无日，莫待无时思有时。,有钱时要想到没钱的时候，不要等到没钱了才后悔。,常将有日思无日莫待无时思有时，我们要节约用钱。
劳动节俭,自己动手，丰衣足食。,自己动手劳动，就能丰衣足食过上好的生活。,自己动手丰衣足食，我们要学会做力所能及的事。
劳动节俭,天上不会掉馅饼。,比喻不可能不劳而获，一切都要靠努力得到。,天上不会掉馅饼，想取得好成绩就要努力。
劳动节俭,靠山吃山，靠水吃水。,比喻依靠当地的条件来生活。,靠山吃山靠水吃水，我们这里的特产就是茶叶。
气象农谚,朝霞不出门，晚霞行千里。,早上有霞出门可能要下雨，晚上有霞第二天是好天气。,奶奶说朝霞不出门晚霞行千里，今天早上有霞还是带伞吧。
气象农谚,天上鱼鳞斑，晒谷不用翻。,天上的云像鱼鳞一样，是好天气，晒谷子不用翻动。,天上鱼鳞斑晒谷不用翻，明天一定是个大晴天。
气象农谚,蚂蚁搬家蛇过道，大雨不久要来到。,蚂蚁搬家蛇在路上爬，说明大雨就要来了。,蚂蚁搬家蛇过道大雨不久要来到，我们赶紧回家吧。
气象农谚,燕子低飞要下雨。,燕子飞得很低的时候，说明快要下雨了。,你看燕子低飞要下雨了，快收衣服吧。
气象农谚,日晕三更雨，月晕午时风。,太阳有晕半夜会下雨，月亮有晕中午会刮风。,日晕三更雨月晕午时风，古人总结的经验真准。
气象农谚,清明前后，种瓜点豆。,清明节前后是种瓜点豆的好时节。,清明前后种瓜点豆，爷爷这两天正在院子里种菜呢。
气象农谚,瑞雪兆丰年。,冬天下大雪，预示着来年是丰收年。,今年下了好几场大雪，瑞雪兆丰年，明年收成一定好。
气象农谚,冬天麦盖三层被，来年枕着馒头睡。,冬天的雪像被子一样盖在麦苗上，来年就能大丰收。,冬天麦盖三层被来年枕着馒头睡，今年雪这么大真高兴。
气象农谚,一场秋雨一场寒，十场秋雨穿上棉。,每下一场秋雨天气就冷一些，十场秋雨过后就要穿棉袄了。,一场秋雨一场寒十场秋雨穿上棉，妈妈已经让我多穿衣服了。
气象农谚,春分秋分，昼夜平分。,春分和秋分这两天白天和黑夜一样长。,春分秋分昼夜平分，今天白天和黑夜一样长。
健康养生,病从口入，寒从脚起。,病是从嘴里吃进去的，寒气是从脚上来的。,妈妈总说病从口入寒从脚起，不让我吃太多生冷的东西。
健康养生,饭后百步走，活到九十九。,饭后散步有益健康，能让人长寿。,爷爷每天饭后散步，他说饭后百步走活到九十九。
健康养生,早睡早起身体好。,早睡早起对身体有好处。,早睡早起身体好，我每天晚上九点就睡了。
健康养生,冬吃萝卜夏吃姜，不用医生开药方。,冬天吃萝卜夏天吃姜对身体好，不容易生病。,奶奶说冬吃萝卜夏吃姜不用医生开药方。
健康养生,一天一苹果，医生远离我。,每天吃一个苹果，身体好不易生病，不用去看医生。,一天一苹果医生远离我，我每天都吃水果。
健康养生,笑一笑十年少，愁一愁白了头。,常笑会显得年轻，常发愁会老得快。,笑一笑十年少愁一愁白了头，我们要保持好心情。
健康养生,生命在于运动。,人的生命健康在于坚持运动。,生命在于运动，我每天都要跑步半小时。
健康养生,站如松，坐如钟，卧如弓，行如风。,站要像松树一样挺拔，坐要像钟一样端正，卧要像弓一样弯曲，走要像风一样轻快。,站如松坐如钟卧如弓行如风，这是军人叔叔教我们的。
警戒劝诫,前车之覆，后车之鉴。,前面的车翻了，后面的车要引以为戒。,前车之覆后车之鉴，看到别人犯的错我们要吸取教训。
警戒劝诫,前事不忘，后事之师。,不忘记以前的经验教训，可以作为以后做事的借鉴。,前事不忘后事之师，上次的失败让我学会了更加细心。
警戒劝诫,千里之堤，溃于蚁穴。,千里长堤会因蚂蚁的小洞而崩溃，比喻小问题会酿成大祸。,千里之堤溃于蚁穴，不能小看这些小毛病。
警戒劝诫,小时偷针，大了偷金。,小时候偷针不改正，长大后就会偷金子，比喻小错不改会酿成大错。,小时偷针大了偷金，家长教育我们从小要诚实。
警戒劝诫,一失足成千古恨，再回头已百年身。,一旦犯了重大错误就成了永远的遗憾，想回头已经晚了。,一失足成千古恨再回头已百年身，做任何事都要慎重。
警戒劝诫,差之毫厘，谬以千里。,开始差一点点，结果就会差很大。,差之毫厘谬以千里，做题时一个小数点都不能错。
警戒劝诫,贪小便宜吃大亏。,贪图小便宜最终会吃大亏。,贪小便宜吃大亏，他为了省几块钱买了假货，后悔死了。
警戒劝诫,祸从口出，病从口入。,祸事往往是因为说话不当引起的，疾病常常是因为饮食不洁。,祸从口出病从口入，说话要谨慎。
警戒劝诫,言多必失。,话说多了一定会出错。,言多必失，有些话不该说就不要说。
豁达乐观,知足常乐。,知道满足的人才会常常快乐。,知足常乐，虽然我们家不富裕，但过得很开心。
豁达乐观,留得青山在，不怕没柴烧。,只要保住根本，就不怕没有将来。,留得青山在不怕没柴烧，这次没考好下次再来。
豁达乐观,天生我材必有用。,上天造就了我这人才就一定会有用。,天生我材必有用，每个人都有自己的价值。
亲情家庭,子不嫌母丑，狗不嫌家贫。,子女不会嫌母亲丑，狗不会嫌主人家穷。,子不嫌母丑狗不嫌家贫，不管怎么样我都爱我的家。
亲情家庭,儿行千里母担忧。,孩子出远门，母亲总是在家里担心。,儿行千里母担忧，妈妈每天都打电话问我吃得好不好。
亲情家庭,可怜天下父母心。,天下父母对子女的心意是最值得怜惜的。,看到妈妈为我操劳，我深深理解了可怜天下父母心。
亲情家庭,养儿方知父母恩。,自己有了孩子才知道父母的恩情有多大。,妈妈说她以前不懂，现在养儿方知父母恩。
亲情家庭,家有老，是个宝。,家里有老人，就像有个宝一样珍贵。,家有老是个宝，爷爷奶奶能给我们讲很多故事。
亲情家庭,家和万事兴。,家庭和睦了，一切都会好起来。,家和万事兴，我们一家人从来不吵架。
亲情家庭,金窝银窝不如自己的狗窝。,别人家再好也不如自己家舒适。,旅游回来还是觉得家里舒服，金窝银窝不如自己的狗窝。
亲情家庭,在家千般好，出门万事难。,在家里什么都好，出门在外什么困难都会遇到。,在家千般好出门万事难，还是家里最温暖。
亲情家庭,落叶归根。,树叶落在树根边，比喻人最终要回到故乡。,爷爷说落叶归根，他老了要回老家生活。
